group,n,ari,degenerate
EL030,77,0.9465933198684131,False
EL033,74,0.9583683690590695,False
EL034,55,0.9206829478687578,False
EL035,40,0.8916990762723559,False
EL036,26,0.9077904765036889,False
EL037,51,0.891811378858876,False
EL038,72,0.8316486122837315,False
EL040,30,0.9047348143443338,False
EL042,103,0.8465492095473023,False
EL043,74,0.9518858934231111,False
EL045,83,0.880678624926865,False
EL046,86,0.8686549101889226,False
PAT_2868,6,0.7737396966479181,False
PAT_3066,28,0.9282169246638619,False
PAT_3390,18,0.9586606343919865,False
PAT_3415,18,0.9504100047469106,False
PAT_3455,36,0.9631186400192887,False
PAT_3780,47,0.5632233239422066,False
PAT_3965,80,0.8485409850107302,False
PAT_3975,67,0.9039726363211901,False
PAT_5515,12,0.9212767994300778,False
PAT_5533,41,0.9156932761409365,False
PAT_6619,144,0.6344344481038121,False
PAT_6684,77,0.8833936132040118,False
PAT_6704,46,0.7627547969194299,False
PAT_6854,146,0.5809672673514102,False
PAT_6953,156,0.728087021183746,False
